genre,community,name,size
Aboriginal & Torres Strait Islander,Aboriginal,2CUZ,5000
Aboriginal & Torres Strait Islander,Aboriginal,3KND Kool 'N',5000
Aboriginal & Torres Strait Islander,Aboriginal,4AAA,5000
Aboriginal & Torres Strait Islander,Aboriginal,4K1G,5000
Aboriginal & Torres Strait Islander,Aboriginal,4MOB,5000
Aboriginal & Torres Strait Islander,Aboriginal,4RRFM,5000
Aboriginal & Torres Strait Islander,Aboriginal,4US,5000
Aboriginal & Torres Strait Islander,Aboriginal,5UMA,5000
Aboriginal & Torres Strait Islander,Aboriginal,6DBY,5000
Aboriginal & Torres Strait Islander,Aboriginal,6FX,5000
Aboriginal & Torres Strait Islander,Aboriginal,6NME,5000
Aboriginal & Torres Strait Islander,Aboriginal,6PRK,5000
Aboriginal & Torres Strait Islander,Aboriginal,6WR,5000
Aboriginal & Torres Strait Islander,Aboriginal,8KNB,5000
Aboriginal & Torres Strait Islander,Aboriginal,Bumma Bippera,5000
Aboriginal & Torres Strait Islander,Aboriginal,CAAMA Radio,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,exBRACS,5000
Aboriginal & Torres Strait Islander,Aboriginal,Koori Radio,5000
Aboriginal & Torres Strait Islander,Aboriginal,Murri FM,5000
Aboriginal & Torres Strait Islander,Aboriginal,Ngarralinyi-The Listenin Place,5000
Aboriginal & Torres Strait Islander,Aboriginal,Radio Goolarri,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,4MW,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
