on_air_id,community,lon,lat,licensee,description
2NCR River FM,LISMORE,153.2758026,-28.81328011,North Coast Radio Inc.,General Geographic Area
102.1 fm,ALICE SPRINGS,133.8807068,-23.69939995,8CCC Community Radio Inc.,General Geographic Area
103.9 triple t,TOWNSVILLE,146.8131714,-19.26480675,Townsville Community Broadcasting,General Geographic Area
105.5 ROXFM,ROXBY DOWNS,136.879776,-30.56100082,105.5 ROXFM Inc.,General Geographic Area
1ART,CANBERRA,149.13454,-35.29844,ArtSound Inc.,Arts & Music
1CMS,CANBERRA,149.13454,-35.29844,Ethnic Broadcasters Council of the ACT,Ethnic - General
1RPH,CANBERRA,149.13454,-35.29844,Print Handicapped Radio of ACT Inc.,Print Handicapped
1VFM,TUGGERANONG,149.09889,-35.45719,Valley FM Broadcasters Association Inc.,General Geographic Area
1WAY FM,CANBERRA,149.13454,-35.29844,Canberra Christian Radio Ltd,Religious - Christian
2AAA,WAGGA WAGGA,147.3537445,-35.12577057,Wagga Wagga Community Media Inc.,General Geographic Area
2AIR,COFFS HARBOUR,153.1345978,-30.31520081,Coffs Coast Community Radio Inc.,General Geographic Area
2APH,ALBURY,146.9239349,-36.07493973,Vision Australia Limited,Print Handicapped
2ARM,ARMIDALE,151.6712341,-30.5082798,Armidale Community Radio Inc.,General Geographic Area
2BACR FM,BANKSTOWN,151.0428925,-33.90679932,Bankstown Auburn Community Radio,General Geographic Area
2BAY,BYRON BAY,153.6179047,-28.64850044,Bay FM Community Radio Inc.,General Geographic Area
2BBB,BELLINGEN,152.9011993,-30.44849968,Bellinger Community Communications,General Geographic Area
2BCB,BATHURST,149.1846008,-33.52769852,Bathurst Christian Broadcasters Inc.,Religious - Christian
2BLU,KATOOMBA,150.3117371,-33.71303177,Blue Mountains Public Broadcasting Society,General Geographic Area
2BOB,TAREE,152.4538727,-31.91098976,The Manning Media Co-operative Ltd,General Geographic Area
2BR,BRAIDWOOD,149.7998047,-35.44147873,Braidwood FM Inc,General Geographic Area
2CBD,DEEPWATER,139.8343353,-36.13743973,Deepwater & Districts Community FM Radio,General Geographic Area
2CCB,ORANGE,149.1186066,-33.3117981,Canobolas Christian Broadcasters Assoc,Religious - Christian
2CHR,CESSNOCK,151.3562012,-32.83359909,Central Hunter Community Broadcasters,General Geographic Area
2CHY,COFFS HARBOUR,153.1345978,-30.31520081,Community Media CHY Ltd,Youth
